№,Правила,,Этапы,Продажи,Цель,Срок в этапе (включительно),Условия выхода из этапа,"Условия, при которых сделки остаются (""Если еще"")",Запрещено,Обязательные поля,Задачи (с момента перехода),Отв-ный задачи,Срок создания и завершения,Тип,,Сделка,,,,,,,,,,,,,,,,,
12,,,Собран,Онлайн,Вызвать курьера на собранные заказы,До 15:00 текущего дня,Вызвали курьера,Курьер не вызван,,,"1. Вызвать курьера
2. Поменять этап",Менеджер,Сразу - До 15:00 текущего дня,Доставка,,Резерв до,Дата,Товары,,,YouTube,,,,,,,,,,,,Другое
13,,,Вызван курьер,Онлайн,Передать собранные заказы курьеру,До 18:00 текущего дня,Передали заказ курьеру,Заказ не передан курьеру,,,"1. Передать собранные заказы курьеру
2. Поменять этап",Менеджер,Сразу - До 18:00 текущего дня,Доставка,,Примерная дата встречи,Дата,Встреча / Заказ,Запланировал придти,,Дзен,,,,,,,,,,,,
14,,,Отправлен,Онлайн,Уведомить клиента об отправке,До 14 дней,Заказ прибыл в пункт выдачи,Заказ не прибыл в пункт выдачи,- Самостоятельно переносить на следующий этап,,"1. Выяснить: почему заказ еще не прибыл
2. Взять на контроль через задачу",Менеджер,Через 12 дней - До конца дня,Доставка,,Дата встречи,Дата со временем,Встреча / Заказ,Встреча назначена,,Совет,,,,,,,,,,,,
15,,,Доставлен,Онлайн,Довести клиента до пункта выдачи,До 14 дней,Клиент получил заказ в пункте выдачи,Клиент не прибыл в пункт выдачи,- Самостоятельно переносить на следующий этап,,"1. Выяснить: почему клиент еще не забрал заказ
2. Взять на контроль через задачу",Менеджер,Через 12 дней - До конца дня,Доставка,,Отв-ный консультант,Список,Встреча / Заказ,Успех,,Авито,,,,,,,,,,,,
16,,,Не выкуплен,Онлайн,Обработать возражение | Отправить товар снова,До 7 дней,Обработали возражение | Передали заказ на сборку повторно,"Померил, но не выкупил",- Самостоятельно переносить на данный этап,,"1. Выяснить: почему клиент не выкупил
2. Согласовать новую доставку",Менеджер,Сразу - До конца дня,Возражение,,Аренда до,Дата,Встреча / Заказ,,,Другое,,,,,,,,,,,,
17,,,Сертификат оплачен,Оффлайн / Онлайн,Довести клиента до магазина,До 365 дней,Сертификатом воспользовались,Не воспользовался сертификатом,,,"1. Выяснить: почему клиент не воспользовался сертификатом
2. Взять на контроль через задачу",Менеджер,Через 355 дней - До конца дня,Сертификат,,Способ получения,Список,Доставка,Передан на сборку,,,,,,,,,,,,,,
18,,,Успех,Оффлайн / Онлайн,Собрать обратную связь,,,Купил и получил товар / услугу,,,1. Собрать обртную связь у успешной сделки,Менеджер,Сразу - До 1 дня,Обратная связь,,Адрес доставки,Текст,Доставка,Согласована доставка,,,,,,,,,,,,,,
19,,,Провал,Оффлайн / Онлайн,Собрать обратную связь,,,Не купил,,"- Причина провала
- Комментарий провала",1. Собрать обртную связь у провальной сделки,Менеджер,Сразу - До 1 дня,Обратная связь,,Дата отправки,Дата,Доставка,Передан на сборку,,,,,,,,,,,,,,
20,,,,,,,,,,,1. Собрать обртную связь у провальной сделки,Менеджер,Сразу - До 1 дня,Обратная связь,,№ отправления,Строка,Доставка,Передан на сборку,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,Дата доставки,Дата,Доставка,Успех,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,№ сертификата,Текст,Другое,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,Сертификат действителен до,Дата,Другое,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,Имя гостя,Текст,Другое,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,Промокод,Текст,Другое,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,Промокод действителен до,Дата,Другое,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,Ассортимент,Список,Обратная связь,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,Комментарий к ассортименту,Текстовое поле,Обратная связь,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,Компетентность конс. / менедж.,Список,Обратная связь,,,,,,,,,,,,,,,
