,,,$,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Август,,,
Город,СОБСТВЕННИК,Менеджер,АДРЕС,Сторона,,Себестоимость,Цена продажи,Наценка,ФОРМАТ,СТАТУС,Бренд,КЛИЕНТ ЮР,Категория клиента,МАКЕТ,Наличие ФО,ДОКУМЕНТЫ ОТПРАВЛЕНЫ,ДОКУМЕНТЫ ПОДПИСАНЫ,ПОДТВЕРЖДЕНИЕ ОТ СЕРГЕЯ,КОММЕНТАРИЙ
РОСТОВ,22.0,Варвара Шелконогова,Левобережная ул. поз. 9,Б,,100000.0,150000.0,0.5,3х6,1.0,Петровский причал ,ИП Киблицкий,"Спорт, красота и отдых",Пролонгация,FALSE,TRUE,TRUE,FALSE,пролонгация 
РОСТОВ,22.0,Анна Сободырь,"Малиновского ул. 25 слева, B",В,,100000.0,150000.0,0.5,3х6,1.0,Бобренок,ООО Ремедио,Стоматология,новый макет,FALSE,FALSE,FALSE,FALSE,пролонгация 
РОСТОВ,22.0,Ольга Назарова,Малиновского ул. 28/50,А,,100000.0,150000.0,0.5,3х6,1.0,Чери на Каширской,ООО Автоцентр на Гагарина,Авто,пролонгация,FALSE,FALSE,FALSE,FALSE,пролонгация 
РОСТОВ,22.0,Анна Сободырь,"Малиновского ул. 76, A",А,,100000.0,150000.0,0.5,3х6,1.0,Ирис,ООО Статус,Глазная клиника,пролонгация,FALSE,TRUE,FALSE,FALSE,пролонгация 
РОСТОВ,22.0,Анна Сободырь,"Мечникова ул., 61, A",А,,100000.0,150000.0,0.5,3х6,1.0,Династия С,ООО Стомски,Стоматология,пролонгация,FALSE,TRUE,TRUE,FALSE,пролонгация
РОСТОВ,22.0,Анна Сободырь,"Мечникова 61, Б",Б,,100000.0,150000.0,0.5,3х6,1.0,Академия ТОП,ООО Академия ТОП,Обучение,пролонгация,FALSE,TRUE,TRUE,FALSE,ответ в середине июля
РОСТОВ,22.0,Анна Сободырь,Нансена-Будённовский,А,,100000.0,150000.0,0.5,Экран 3х6,1.0,ФормулаА,ООО ФормулаА,Авто,пролонгация,FALSE,TRUE,TRUE,FALSE,пока не могут дать ответ 
РОСТОВ,22.0,Анна Сободырь,"Нагибина М. пр-кт / Нансена ул. 127 (в 50 м от моста), B*",В,,100000.0,150000.0,0.5,3х6,,Ирис,ООО Статус,Глазная клиника,пролонгация,FALSE,TRUE,FALSE,FALSE,"на август вернуться на нее, на июль будут на нагибина 27"
РОСТОВ,22.0,,"Нансена ул. 111А (через дорогу), A",А,,100000.0,150000.0,0.5,3х6,1.0,,,0,,FALSE,FALSE,FALSE,FALSE,
РОСТОВ,22.0,Варвара Шелконогова,"Орбитальная ул. 52, B",В,,100000.0,150000.0,0.5,3х6,1.0,Леге Артис,ООО Леге Артис,Глазная клиника,Пролонгация,FALSE,TRUE,TRUE,FALSE,пролонгация
РОСТОВ,22.0,Анна Сободырь,"Пойменная ул. 1 (позиция 1), A",A,,100000.0,150000.0,0.5,3х6,1.0,Династия С,ООО Стомски,Стоматология,пролонгация,FALSE,TRUE,TRUE,FALSE,пролонгация
РОСТОВ,22.0,,"Пойменная ул. 1 (через дорогу), A ",A,,100000.0,150000.0,0.5,3х6,1.0,,,0,,FALSE,FALSE,FALSE,FALSE,
РОСТОВ,22.0,Анна Сободырь,"Стачки пр-кт 13, A",А,,100000.0,150000.0,0.5,3х6,1.0,Династия С,ООО Стомски,Стоматология,пролонгация,FALSE,TRUE,TRUE,FALSE,пролонгация
РОСТОВ,22.0,Анна Сободырь,"Стачки пр-кт 138, A",А,,100000.0,150000.0,0.5,3х6,1.0,Астродент,ООО Астродент Форте,Стоматология,пролонгация,FALSE,TRUE,TRUE,FALSE,пролонгация
РОСТОВ,22.0,Анна Сободырь,"Стачки 188, Б",Б,,100000.0,150000.0,0.5,3х6,1.0,Академия ТОП,ООО Академия ТОП,Обучение,пролонгация,FALSE,TRUE,TRUE,FALSE,ответ в середине июля
РОСТОВ,22.0,Анна Сободырь,"Таганрогская ул. 163 (через дорогу), B",В,,100000.0,150000.0,0.5,3х6,1.0,стоматология Ника ,ООО Ника,Стоматология,пролонгация,FALSE,TRUE,TRUE,FALSE,пролонгация 
РОСТОВ,22.0,Ольга Назарова,"Шеболдаева ул. (через дорогу Нансена ул. 97А), B*",Б,,100000.0,150000.0,0.5,3х6,,Звезда Столицы,СЗ Доннефтестрой Девелопмент,Застройщик,пролонгация,FALSE,FALSE,FALSE,FALSE,пролонгация
РОСТОВ,22.0,Менеджер,Шолохова пр-кт 31А (конец здания по ходу движения),А,,100000.0,150000.0,0.5,"2,7х3,7",1.0,Глазная клиника Сокол,ООО ЛДЦ Сокол,Глазная клиника,пролонгация,FALSE,FALSE,FALSE,FALSE,Скорее да
РОСТОВ,22.0,Ольга Назарова,"Шолохова пр-кт  197/1 (на разделительной) на выезд, А1",А из центра,,100000.0,150000.0,0.5,3х6,1.0,Чери на Каширской,ООО Автоцентр на Гагарина,Авто,новый макет,FALSE,FALSE,FALSE,FALSE,Пролонгация
РОСТОВ,22.0,,"Шолохова пр-кт  222 / Кавказский пер., A",А,,100000.0,150000.0,0.5,3х6,1.0,,,0,,FALSE,FALSE,FALSE,FALSE,
РОСТОВ,22.0,Анна Сободырь,"Южный подъезд (1,50 км слева), A",A,,100000.0,150000.0,0.5,3х6,1.0,Ирис,ООО Статус,Глазная клиника,пролонгация,FALSE,TRUE,FALSE,FALSE,пролонгация 
ИТОГО,22,,,,,3600000,5400000,0.5,,34,,,,,,,,,
Краснодар,,,,,,100000.0,150000.0,0.0,,,,,0,,FALSE,FALSE,FALSE,FALSE,
ИТОГО,,,,,,0,0,#DIV/0!,,0,,,,,,,,,
Азов,33.0,Анна Сободырь,"въезд в городок, подъезд к Московской, в район улицы Матросова 77, слева по ходу движения в центр города",Б,,100000.0,150000.0,0.5,3х6,1.0,Городок,ООО Городок,Стоматология,пролонгация,FALSE,TRUE,TRUE,FALSE,пролонгация
Азов,33.0,Анна Сободырь,"ул. Московская, 66/ пер. Красноармейский, слева по ходу движения",Б,,100000.0,150000.0,0.5,3х6,1.0,Городок,ООО Городок,Стоматология,пролонгация,FALSE,TRUE,TRUE,FALSE,пролонгация
ИТОГО,33,,,,,200000,300000,0.5,,2,,,,,,,,,
РОСТОВ,,,,,,100000.0,150000.0,0.0,,,,,,,,FALSE,FALSE,FALSE,
ИТОГО,,,,,,0,0,#DIV/0!,,0,,,,,,,,,
РОСТОВ,,,,,,100000.0,150000.0,0.0,,,,,,,,FALSE,FALSE,FALSE,
ИТОГО,,,,,,0,0,#DIV/0!,,0,,,,,,,,,
Батайск,,,,,,100000.0,150000.0,0.0,,,,,0,,FALSE,FALSE,FALSE,FALSE,
ИТОГО,,,,,,0,0,#DIV/0!,,0,,,,,,,,,
Аксай,44.0,Анна Сободырь,Ленина 47Б,А1,,100000.0,150000.0,0.5,3х6,1.0,Стоматология Алекса,ООО Алекса,Стоматология,пролонгация,FALSE,TRUE,FALSE,FALSE,пролонгация
Аксай,44.0,Менеджер,"ул. Западная, 1059км + 800м слева по ходу км-жа, М4 ""Дон""",Б,13500,100000.0,150000.0,0.5,3х6,1.0,Справедливая Россия,Справедливая Россия,Политика,пролонгация,FALSE,FALSE,FALSE,FALSE,пролонгация
Аксай,44.0,Ольга Назарова,"ул. Янтарная/пр. Аксайский,13-А (Ростовская таможня)",Б,,100000.0,150000.0,0.5,2х3,1.0,Флора 3,СЗ Доннефтестрой-Аксай,Застройщик,пролонгация,FALSE,FALSE,FALSE,FALSE,пролонгация
ИТОГО,44,,,,,300000,450000,0.5,,3,,,,,,,,,
РОСТОВ,55.0,Анна Сободырь,Нагибина 1,А,,100000.0,150000.0,0.5,Экран 3х6,1.0,Бошепарк,ООО Детство,"Спорт, красота и отдых",пролонгация,FALSE,TRUE,TRUE,FALSE,пролонгация
РОСТОВ,55.0,Анна Сободырь,Новая Провинция,А,,100000.0,150000.0,0.5,Экран,1.0,Мелиус,ООО Дентал Линк,Стоматология,пролонгация,FALSE,TRUE,TRUE,FALSE,пролонгация
РОСТОВ,55.0,Анна Сободырь,Горизонт Синема,А,,100000.0,150000.0,0.5,Экран,1.0,Академия ТОП,ООО Академия ТОП,Обучение,пролонгация,FALSE,TRUE,TRUE,FALSE,ответ в середине июля
РОСТОВ,55.0,Анна Сободырь,На фудкорте,А,,100000.0,150000.0,0.5,Экран,1.0,Академия ТОП,ООО Академия ТОП,Обучение,пролонгация,FALSE,TRUE,TRUE,FALSE,ответ в середине июля
РОСТОВ,55.0,Менеджер,"Нагибина пр-кт 32 б (ТРК Горизонт , Кари)",А,,100000.0,150000.0,0.5,3х6,1.0,Глазная клиника Сокол,ООО ЛДЦ Сокол,Глазная клиника,новый макет,FALSE,FALSE,FALSE,FALSE,Пролонгация
РОСТОВ,55.0,Анна Сободырь,Ворошиловский/Текучева (ЦГБ),А,,100000.0,150000.0,0.5,Экран 5х7,1.0,Астродент,ООО Астродент Форте,Стоматология,пролонгация,FALSE,TRUE,TRUE,FALSE,
РОСТОВ,55.0,Анна Сободырь,Нагибина пр-кт 7А А,А,,100000.0,150000.0,0.5,3х6,1.0,Мартин,ООО Мартин ,Продукты,пролонгация,FALSE,TRUE,FALSE,FALSE,пролонгация
ИТОГО,55,,,,,700000,1050000,0.5,,7,,,,,,,,,
Таганрог,66.0,Менеджер,"Марцевский треугольник, 6 (в сторону ул. Лизы Чайкиной)",Б,,100000.0,150000.0,0.5,3х6,1.0,Справедливая Россия,Справедливая Россия,Политика,пролонгация,FALSE,FALSE,FALSE,FALSE,Пролонгация
Шахты,77.0,Менеджер,ул. Дачная / ул. Громова,А,,100000.0,150000.0,0.5,3х6,1.0,Справедливая Россия,Справедливая Россия,Политика,пролонгация,FALSE,FALSE,FALSE,FALSE,Пролонгация
Шахты,77.0,Менеджер,"29/А - Ленинского Комсомола, поз.6 ",А,,100000.0,150000.0,0.5,3х6,1.0,Справедливая Россия,Справедливая Россия,Политика,пролонгация,FALSE,FALSE,FALSE,FALSE,Пролонгация
Таганрог,88.0,Анна Сободырь,"Марцевский треугольник,6 (в сторону ул. Лизы Чайкиной)",А,,100000.0,150000.0,0.5,3х6,1.0,Мартин,ООО Мартин ,Продукты,пролонгация,FALSE,TRUE,FALSE,FALSE,пролонгация
Таганрог,88.0,Анна Сободырь,"ул. Дзержинского, 66",А,,100000.0,150000.0,0.5,3х6,1.0,Мартин,ООО Мартин ,Продукты,пролонгация,FALSE,TRUE,FALSE,FALSE,пролонгация
Таганрог,88.0,Анна Сободырь,"ул. Дзержинского,54 / ул. Гончарова",А,,100000.0,150000.0,0.5,3х6,1.0,Мартин,ООО Мартин ,Продукты,пролонгация,FALSE,TRUE,FALSE,FALSE,пролонгация
ИТОГО,88,,,,,300000,450000,0.5,,3,,,,,,,,,
Цимлянск,99.0,Менеджер,пересечения ул. Московская и ул. Некрасова,Б,,100000.0,150000.0,0.5,3х6,1.0,Справедливая Россия,Справедливая Россия,Политика,пролонгация,TRUE,FALSE,FALSE,FALSE,Пролонгация
ИТОГО,99,,,,,100000,150000,0.5,,1,,,,,,,,,
ИТОГО,#REF!,,,,,0,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,0,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,0,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,0,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,0,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,36000.0,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,36000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,72000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,144000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,288000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,576000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,1152000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,2304000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,4608000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,9216000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,18432000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,36864000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,73728000,0,#DIV/0!,,0,,,,,,,,,
ИТОГО,#REF!,,,,,147456000,0,#DIV/0!,,0,,,,,,,,,
ВСЕГО,26,,,,,300412000,8250000,#DIV/0!,,53,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
